User District,State,Total Enrollments,Total Completion,Total Certifications,Certification %
Mon,Nagaland,"2,674","1,958","1,508",56.4%
Peren,Nagaland,"2,656","2,084","1,852",69.7%
Phek,Nagaland,"1,870","1,322","1,026",54.9%
Tuensang,Nagaland,"2,117","1,684","1,293",61.1%
Wokha,Nagaland,"3,615","2,926","2,536",70.2%
Zunheboto,Nagaland,"6,425","5,087","4,260",66.3%
Jagatsinghpur,Odisha,"13,428","10,791","9,808",73.0%
Nabarangpur,Odisha,"16,003","11,907","9,869",61.7%
Sundergarh,Odisha,"30,912","25,073","22,418",72.5%
Angul,Orissa,"18,424","14,659","13,015",70.6%
Balasore,Orissa,"31,273","25,138","22,092",70.6%
Bargarh,Orissa,"18,994","15,762","14,188",74.7%
Bhadrak,Orissa,"24,360","20,003","17,968",73.8%
Bolangir,Orissa,"16,738","12,797","10,996",65.7%
Boudh,Orissa,"6,567","5,128","4,328",65.9%
Cuttack,Orissa,"27,908","22,449","20,365",73.0%
Dhenkanal,Orissa,"13,687","10,814","9,420",68.8%
Gajapati,Orissa,"14,481","11,753","10,034",69.3%
Ganjam,Orissa,"34,853","26,656","21,752",62.4%
Jajpur,Orissa,"22,491","18,261","16,319",72.6%
Jharsuguda,Orissa,"7,720","6,416","5,681",73.6%
Kalahandi,Orissa,"17,551","13,937","11,784",67.1%
Kandhamal,Orissa,"15,895","12,422","10,643",67.0%
Kendrapara,Orissa,"17,812","14,517","13,165",73.9%
Keonjhar,Orissa,"17,243","12,508","10,191",59.1%
Khordha,Orissa,"19,206","15,549","13,306",69.3%
Koraput,Orissa,"24,949","19,736","17,380",69.7%
Malkangiri,Orissa,"12,542","10,083","8,700",69.4%
Mayurbhanj,Orissa,"36,297","27,780","23,217",64.0%
Nayagarh,Orissa,"14,073","11,357","10,235",72.7%
Nuapada,Orissa,"8,563","6,637","5,479",64.0%
Puri,Orissa,"18,816","15,304","13,639",72.5%
Rayagada,Orissa,"17,223","13,813","11,977",69.5%
Sambalpur,Orissa,"16,504","13,621","12,143",73.6%
Karaikal,Pondicherry,"2,295","1,858","1,668",72.7%
Mahe,Pondicherry,482,388,363,75.3%
Pondicherry,Pondicherry,"9,703","8,005","7,470",77.0%
Yanam,Pondicherry,7,0,0,0.0%
Amritsar,Punjab,"25,280","21,167","19,106",75.6%
Barnala,Punjab,"7,543","6,218","5,636",74.7%
Bathinda,Punjab,"19,145","15,905","14,202",74.2%
Faridkot,Punjab,"8,593","7,215","6,499",75.6%
Fatehgarh Sahib,Punjab,"12,121","10,161","9,144",75.4%
Fazilka,Punjab,"17,255","15,140","13,716",79.5%
Ferozepur,Punjab,"11,158","9,766","8,811",79.0%
Gurdaspur,Punjab,"20,562","17,416","15,225",74.0%
Hoshiarpur,Punjab,"22,636","19,356","17,272",76.3%
Jalandhar,Punjab,"18,697","15,644","13,860",74.1%
Kapurthala,Punjab,"10,668","8,964","8,296",77.8%
Ludhiana,Punjab,"34,911","29,082","26,201",75.1%
Mansa,Punjab,"8,979","7,699","7,165",79.8%
Moga,Punjab,"10,953","9,579","8,564",78.2%
Muktsar,Punjab,"12,188","10,388","9,501",78.0%
Pathankot,Punjab,"9,542","8,151","7,478",78.4%
Patiala,Punjab,"24,656","20,754","18,372",74.5%
Roopnagar,Punjab,"9,860","8,223","7,571",76.8%
S.B.S. Nagar,Punjab,"6,855","5,859","5,418",79.0%
Sangrur,Punjab,"18,390","15,902","14,349",78.0%
Sas Nagar,Punjab,"14,934","12,637","11,388",76.3%
Tarn Taran,Punjab,"12,880","10,622","9,258",71.9%
Ajmer,Rajasthan,"61,435","48,957","39,305",64.0%
Alwar,Rajasthan,"82,560","66,760","55,168",66.8%
Banswara,Rajasthan,"51,417","37,635","26,152",50.9%
Baran,Rajasthan,"27,621","21,279","15,434",55.9%
Barmer,Rajasthan,"120,153","97,181","80,999",67.4%
Bharatpur,Rajasthan,"54,414","44,992","39,194",72.0%
Bhilwara,Rajasthan,"70,462","55,522","43,349",61.5%
Bikaner,Rajasthan,"54,655","43,633","35,940",65.8%
Bundi,Rajasthan,"28,473","22,041","17,061",59.9%
Chittaurgarh,Rajasthan,"47,119","37,394","30,606",65.0%
Churu,Rajasthan,"45,506","35,864","31,438",69.1%
Dausa,Rajasthan,"34,741","26,780","22,876",65.8%
Dhaulpur,Rajasthan,"31,489","25,591","20,341",64.6%
Dungarpur,Rajasthan,"45,257","33,933","21,765",48.1%
Ganganagar,Rajasthan,"52,683","42,007","35,920",68.2%
Hanumangarh,Rajasthan,"30,266","23,560","19,743",65.2%
Jaipur,Rajasthan,"117,223","94,943","81,038",69.1%
Jaisalmer,Rajasthan,"28,583","22,454","18,402",64.4%
Jalor,Rajasthan,"46,327","35,555","27,397",59.1%
Jhalawar,Rajasthan,"45,241","35,446","27,486",60.8%
Jhunjhunu,Rajasthan,"47,163","37,739","32,820",69.6%
Jodhpur,Rajasthan,"86,003","68,112","56,286",65.4%
Karauli,Rajasthan,"31,987","25,346","21,714",67.9%
Kota,Rajasthan,"32,426","25,877","20,650",63.7%
Nagaur,Rajasthan,"89,479","71,854","60,971",68.1%
Pali,Rajasthan,"58,655","47,349","38,483",65.6%
Rajsamand,Rajasthan,"39,688","30,542","24,297",61.2%
Ramgarh,Rajasthan,"20,349","16,122","13,139",64.6%
Sawai Madhopur,Rajasthan,"32,968","27,136","23,271",70.6%
Sikar,Rajasthan,"61,808","50,601","43,376",70.2%
Sirohi,Rajasthan,"22,683","17,437","12,974",57.2%
Tonk,Rajasthan,"40,512","32,128","26,560",65.6%
Udaipur,Rajasthan,"82,119","62,704","46,953",57.2%
East Sikkim,Sikkim,"19,735","14,924","14,129",71.6%
North Sikkim,Sikkim,"4,513","3,663","3,536",78.4%
South Sikkim,Sikkim,"12,896","9,485","9,012",69.9%
West Sikkim,Sikkim,"11,414","8,264","7,739",67.8%
Ariyalur,Tamil Nadu,11,8,6,54.5%
Chengalpattu,Tamil Nadu,774,614,469,60.6%
Chennai,Tamil Nadu,"5,627","4,132","3,085",54.8%
Coimbatore,Tamil Nadu,"1,352",931,676,50.0%
Cuddalore,Tamil Nadu,67,51,32,47.8%
Dharmapuri,Tamil Nadu,58,29,15,25.9%
Dindigul,Tamil Nadu,219,144,59,26.9%
Erode,Tamil Nadu,203,143,52,25.6%
Kanniyakumari,Tamil Nadu,769,542,292,38.0%
Karur,Tamil Nadu,36,17,1,2.8%
Krishnagiri,Tamil Nadu,591,396,182,30.8%
Madurai,Tamil Nadu,458,339,236,51.5%
Nagapattinam,Tamil Nadu,6,1,0,0.0%
Namakkal,Tamil Nadu,147,98,43,29.3%
Perambalur,Tamil Nadu,11,8,7,63.6%
Pudukkottai,Tamil Nadu,92,61,36,39.1%
Ramanathapuram,Tamil Nadu,122,95,61,50.0%
Salem,Tamil Nadu,320,183,115,35.9%
Tenkasi,Tamil Nadu,10,4,0,0.0%
Thanjavur,Tamil Nadu,107,69,45,42.1%
Theni,Tamil Nadu,209,148,10,4.8%
Thoothukkudi,Tamil Nadu,256,138,63,24.6%
Tiruchirappalli,Tamil Nadu,736,518,311,42.3%
Tirunelveli,Tamil Nadu,504,347,248,49.2%
Tiruppur,Tamil Nadu,222,158,106,47.7%
Tiruvannamalai,Tamil Nadu,61,33,16,26.2%
Vellore,Tamil Nadu,369,271,176,47.7%
Virudhunagar,Tamil Nadu,317,201,133,42.0%
Kallakurichi,Tamilnadu,11,4,3,27.3%
Kanchipuram,Tamilnadu,432,328,166,38.4%
Nilgiris,Tamilnadu,354,259,191,54.0%
Ranipet,Tamilnadu,110,87,81,73.6%
Sivagangai,Tamilnadu,149,95,69,46.3%
Tiruvallur,Tamilnadu,"1,096",835,682,62.2%
Tiruvarur,Tamilnadu,19,8,6,31.6%
Villupuram,Tamilnadu,27,18,0,0.0%
Adilabad,Telangana,"8,821","6,761","6,382",72.4%
Hyderabad,Telangana,"17,547","12,494","10,869",61.9%
Jagtial,Telangana,"13,786","10,692","10,344",75.0%
Jangaon,Telangana,"10,943","8,686","8,361",76.4%
Kamareddy,Telangana,"15,874","12,068","11,614",73.2%
Karimnagar,Telangana,"11,280","8,560","8,213",72.8%
Khammam,Telangana,"18,488","14,343","13,748",74.4%
Mancherial,Telangana,"11,965","9,792","9,500",79.4%
Medak,Telangana,"12,901","9,884","9,524",73.8%
Nagarkurnool,Telangana,"15,142","12,296","11,947",78.9%
Nalgonda,Telangana,"26,973","22,341","21,652",80.3%
Narayanpet,Telangana,"10,220","8,081","7,792",76.2%
Nirmal,Telangana,"9,435","7,136","6,804",72.1%
Nizamabad,Telangana,"20,282","15,053","14,372",70.9%
Sangareddy,Telangana,"16,882","12,659","11,941",70.7%
Siddipet,Telangana,"15,788","12,370","11,762",74.5%
Suryapet,Telangana,"16,195","13,001","12,409",76.6%
Bhadradri,Telangana,"18,954","15,186","14,462",76.3%
Jayashankar,Telangana,"5,705","4,390","4,170",73.1%
Jogulamba,Telangana,"10,110","8,392","8,152",80.6%
Komaram Bheem,Telangana,"9,413","7,431","7,117",75.6%
Mahabubabad,Telangana,"15,035","12,112","11,749",78.1%
Mahabubnagar,Telangana,"17,787","14,384","13,917",78.2%
Medchal-Malkajgiri,Telangana,"13,749","10,379","9,717",70.7%
Mulugu,Telangana,"5,304","4,223","4,024",75.9%
Peddapalli,Telangana,"9,950","7,707","7,419",74.6%
Rajanna,Telangana,"9,314","6,860","6,584",70.7%
Rangareddy,Telangana,"29,046","23,453","22,611",77.8%
Vikarabad,Telangana,"15,076","11,620","11,048",73.3%
Wanaparthy,Telangana,"9,960","8,221","8,031",80.6%
Warangal Rural,Telangana,"11,317","9,074","8,642",76.4%
Warangal Urban,Telangana,"10,324","7,944","7,618",73.8%
Yadadri,Telangana,"11,299","8,814","8,478",75.0%
Dhalai,Tripura,"2,526","1,989",549,21.7%
Gomati,Tripura,635,474,179,28.2%
Khowai,Tripura,"2,756","2,191",582,21.1%
North Tripura,Tripura,"1,631","1,337",419,25.7%
Sepahijala,Tripura,916,729,322,35.2%
South Tripura,Tripura,803,545,135,16.8%
Unakoti,Tripura,782,595,228,29.2%
West Tripura,Tripura,"3,924","3,139","1,134",28.9%
Ayodhya(Faizabad),Uttar Pradesh,"9,239","6,240","5,018",54.3%
Badaun,Uttar Pradesh,"6,617","4,712","3,963",59.9%
Agra,Uttar Pradesh,"13,769","9,705","8,051",58.5%
Aligarh,Uttar Pradesh,"13,278","9,480","7,705",58.0%
Ambedkar Nagar,Uttar Pradesh,"12,754","8,623","7,365",57.7%
Amethi,Uttar Pradesh,"8,906","6,242","5,042",56.6%
Amroha,Uttar Pradesh,"5,851","4,025","3,249",55.5%
Auraiya,Uttar Pradesh,"5,414","3,681","3,004",55.5%
Azamgarh,Uttar Pradesh,"13,153","9,006","7,762",59.0%
Baghpat,Uttar Pradesh,"4,596","3,299","2,829",61.6%
Ballia,Uttar Pradesh,"9,855","6,719","5,538",56.2%
Balrampur,Uttar Pradesh,"26,752","19,014","14,473",54.1%
Banda,Uttar Pradesh,"14,784","10,695","8,339",56.4%
Barabanki,Uttar Pradesh,"14,433","9,764","7,892",54.7%
Bareilly,Uttar Pradesh,"15,045","10,602","8,706",57.9%
Basti,Uttar Pradesh,"7,596","5,210","4,162",54.8%
Behraich,Uttar Pradesh,"23,113","16,308","14,047",60.8%
Bijnor,Uttar Pradesh,"10,878","7,916","6,770",62.2%
Bulandshahar,Uttar Pradesh,"10,455","7,219","6,043",57.8%
Chandauli,Uttar Pradesh,"10,127","7,121","6,072",60.0%
Chitrakoot,Uttar Pradesh,"9,547","6,684","5,505",57.7%
Deoria,Uttar Pradesh,"6,839","4,578","3,671",53.7%
Etah,Uttar Pradesh,"8,067","5,909","4,819",59.7%
Etawah,Uttar Pradesh,"11,935","9,167","6,842",57.3%
Farrukhabad,Uttar Pradesh,"8,131","5,462","4,429",54.5%
Fatehpur,Uttar Pradesh,"10,777","7,602","6,121",56.8%
Firozabad,Uttar Pradesh,"9,780","6,791","5,474",56.0%
Gautam Budh Nagar,Uttar Pradesh,"10,262","7,257","6,104",59.5%
Ghaziabad,Uttar Pradesh,"6,988","5,142","4,175",59.7%
Ghazipur,Uttar Pradesh,"18,348","12,938","10,858",59.2%
Gonda,Uttar Pradesh,"13,775","9,628","8,060",58.5%
Gorakhpur,Uttar Pradesh,"22,085","15,466","11,874",53.8%
Hapur,Uttar Pradesh,"5,702","4,124","3,193",56.0%
Hardoi,Uttar Pradesh,"10,802","7,384","6,108",56.5%
Hathras,Uttar Pradesh,"5,479","3,814","3,105",56.7%
Jalaun,Uttar Pradesh,"2,018","1,350","1,084",53.7%
Jaunpur,Uttar Pradesh,"23,548","16,867","14,254",60.5%
Jhansi,Uttar Pradesh,"8,326","5,984","4,981",59.8%
Kannauj,Uttar Pradesh,"5,412","3,605","2,991",55.3%
Kanpur Dehat,Uttar Pradesh,"5,651","3,916","3,238",57.3%
Kanpur Nagar,Uttar Pradesh,"19,387","13,939","11,326",58.4%
Kasganj,Uttar Pradesh,"11,996","8,916","7,364",61.4%
Kaushambi,Uttar Pradesh,"11,623","8,020","6,956",59.8%
Kushinagar,Uttar Pradesh,"13,057","9,291","7,961",61.0%
Lakhimpur Kheri,Uttar Pradesh,"12,959","8,710","7,425",57.3%
Lalitpur,Uttar Pradesh,"3,582","2,406","1,839",51.3%
Lucknow,Uttar Pradesh,"18,863","12,783","10,190",54.0%
Maharajganj,Uttar Pradesh,"8,863","6,235","5,181",58.5%
Mahoba,Uttar Pradesh,"4,947","3,257","2,461",49.7%
Mainpuri,Uttar Pradesh,"5,627","3,869","2,978",52.9%
Mathura,Uttar Pradesh,"7,950","5,691","4,661",58.6%
Mau,Uttar Pradesh,"8,374","5,682","4,716",56.3%
Meerut,Uttar Pradesh,"11,434","8,409","6,553",57.3%
Mirzapur,Uttar Pradesh,"15,707","11,274","9,559",60.9%
Moradabad,Uttar Pradesh,"8,340","5,909","4,798",57.5%
Muzaffarnagar,Uttar Pradesh,"7,127","4,980","4,150",58.2%
Pilibhit,Uttar Pradesh,"9,069","6,485","5,239",57.8%
Pratapgarh,Uttar Pradesh,"36,266","26,280","20,539",56.6%
Prayagraj(Allahabad),Uttar Pradesh,"30,946","21,748","17,650",57.0%
Raebareli,Uttar Pradesh,"16,554","11,681","9,076",54.8%
Rampur,Uttar Pradesh,"8,456","6,315","4,990",59.0%
Saharanpur,Uttar Pradesh,"10,642","7,663","6,112",57.4%
Sambhal,Uttar Pradesh,"3,076","2,222","1,860",60.5%
Sant Kabir Nagar,Uttar Pradesh,"5,598","3,910","3,297",58.9%
Sant Ravidas Nagar,Uttar Pradesh,"9,753","6,987","5,822",59.7%
Shahjahanpur,Uttar Pradesh,"13,116","9,512","7,968",60.8%
Shamli,Uttar Pradesh,"4,623","3,381","2,695",58.3%
Shravasti,Uttar Pradesh,"4,455","3,009","2,525",56.7%
Sidharthnagar,Uttar Pradesh,"10,080","6,810","5,457",54.1%
Sitapur,Uttar Pradesh,"25,950","18,492","15,729",60.6%
Sonbhadra,Uttar Pradesh,"9,534","6,651","5,229",54.8%
Sultanpur,Uttar Pradesh,"14,434","10,191","8,396",58.2%
Unnao,Uttar Pradesh,"11,555","7,774","6,115",52.9%
Varanasi,Uttar Pradesh,"28,631","22,561","18,668",65.2%
Almora,Uttaranchal,"22,609","19,560","18,712",82.8%
Bageshwar,Uttaranchal,"8,196","6,889","6,461",78.8%
Chamoli,Uttaranchal,"16,310","13,861","13,013",79.8%
Champawat,Uttaranchal,"9,072","7,669","7,343",80.9%
Dehradun,Uttaranchal,"25,651","20,326","18,329",71.5%
Garhwal,Uttaranchal,"27,511","22,705","21,319",77.5%
Hardwar,Uttaranchal,"27,351","24,248","23,265",85.1%
Nainital,Uttaranchal,"19,737","16,002","14,701",74.5%
Pithoragarh,Uttaranchal,"14,702","12,280","11,569",78.7%
Rudraprayag,Uttaranchal,"8,458","7,087","6,745",79.7%
Tehri Garhwal,Uttaranchal,"26,711","23,009","21,881",81.9%
Udham Singh Nagar,Uttaranchal,"24,628","21,711","21,065",85.5%
Uttarkashi,Uttaranchal,"11,404","9,543","8,772",76.9%
Alipurduar,West Bengal,769,562,446,58.0%
Bankura,West Bengal,46,26,12,26.1%
Birbhum,West Bengal,171,105,81,47.4%
Dakshin Dinajpur,West Bengal,77,51,42,54.5%
Darjiling,West Bengal,"2,589","1,876","1,262",48.7%
Howrah,West Bengal,"1,355",940,584,43.1%
Hugli,West Bengal,"1,921","1,431",954,49.7%
Jalpaiguri,West Bengal,"1,206",901,686,56.9%
Jhargram,West Bengal,4,2,2,50.0%
Kalimpong,West Bengal,559,406,254,45.4%
Koch Bihar,West Bengal,467,331,275,58.9%
Kolkata,West Bengal,"15,538","12,247","9,639",62.0%
Maldah,West Bengal,167,110,78,46.7%
Murshidabad,West Bengal,498,363,220,44.2%
Nadia,West Bengal,444,323,173,39.0%
North Twenty Four Pargana,West Bengal,"3,749","2,863","2,180",58.1%
Paschim Burdwan (West Bardhaman),West Bengal,"2,027","1,551","1,175",58.0%
Paschim Medinipur,West Bengal,"1,100",865,727,66.1%
Purba Burdwan (East Bardhaman),West Bengal,"1,704","1,315",944,55.4%
Purba Medinipur,West Bengal,569,417,213,37.4%
Puruliya,West Bengal,217,133,84,38.7%
South Twenty Four Pargan,West Bengal,"1,044",784,560,53.6%
Uttar Dinajpur,West Bengal,219,174,155,70.8%
